EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-907.093	200.0	0.00308258	1.45008	0.661402127619	0.671265259046	241800
-888.254	200.0	0.00260476	1.44756	0.426969517717	0.44923880848	244400
-946.264	200.0	0.00139362	1.44527	0.499586114234	0.554403163187	247000
-908.04	200.0	0.0017423	1.44304	0.244992523422	0.268785641445	249600
-795.877	200.0	0.00299598	1.44145	0.373393371699	0.385673170566	252200
-843.955	200.0	0.00254677	1.43921	0.588300950066	0.615337848548	254800
-823.021	200.0	0.00394659	1.43642	0.562922817405	0.569689615603	257400
-738.699	200.0	0.00395466	1.43335	0.602181894577	0.608177877526	260000
-728.615	200.0	0.00406912	1.43042	0.646512830406	0.657454963409	262600
-793.112	200.0	0.00189674	1.42846	0.741992403098	0.7514080942	265200
-743.367	200.0	0.00257588	1.42687	0.745105160031	0.747948203717	267800
-706.439	200.0	0.00422271	1.42548	0.63467675883	0.638380480766	270400
-730.785	200.0	0.00069237	1.42442	0.456611922018	0.492423856454	273000
-784.695	200.0	0.000896954	1.42293	0.544093306203	0.572574519354	275600
-761.222	200.0	0.00333089	1.42089	0.621526597358	0.626268732575	278200
-683.614	200.0	0.00417123	1.41883	0.626565720599	0.636832936423	280800
-689.665	200.0	0.00286681	1.41748	0.613879570493	0.62140792577	283400
-735.064	200.0	0.00177543	1.41619	0.752744143074	0.756211145423	286000
-695.845	200.0	0.00116278	1.41461	0.762433109373	0.771753598258	288600
-664.859	200.0	0.00078136	1.41284	0.718846419481	0.744173430774	291200
-714.842	200.0	0.00304944	1.41009	0.792920841841	0.801470540645	293800
-731.209	200.0	0.00504259	1.4063	0.802320976605	0.811711778492	296400
-684.554	200.0	0.0028762	1.40419	0.812953816847	0.821622861898	299000
-617.116	200.0	0.0065306	1.40266	0.758682751868	0.771788463042	301600
-547.275	200.0	0.0039243	1.40192	0.791230024563	0.787087807329	304200
-539.849	200.0	0.0046736	1.40129	0.785703197486	0.81923662361	306800
-573.11	200.0	0.00196737	1.40051	0.858182144239	0.865603697506	309400
-511.953	200.0	0.00160004	1.39966	0.819291827714	0.83111678018	312000
-565.856	200.0	0.00173455	1.39867	0.846756668135	0.853568255487	314600
-656.972	200.0	0.00143006	1.39753	0.863270414824	0.874866382889	317200
-577.463	200.0	0.00153922	1.39637	0.848097178509	0.852730879169	319800
-542.934	200.0	0.0015053	1.39519	0.840381100198	0.844013245072	322400
-406.924	200.0	0.00182219	1.39387	0.819491075512	0.82841971134	325000
-402.35	200.0	0.00168025	1.39258	0.841146255262	0.860642515359	327600
-567.28	200.0	0.00180722	1.39141	0.923149744538	0.929566815985	330200
-468.1	200.0	0.00104601	1.39006	0.929298023695	0.935161974271	332800
-371.454	200.0	0.00084176	1.38849	0.876933729628	0.88523353692	335400
